label_hyperonyme,relation,label_hyponyme
craniofacial dysostosis,hyponyme,hypertelorism
vitamin b deficiency,hyponyme,thiamine deficiency
electrolyte,hyponyme,polyelectrolyte
diterpenes kaurane,hyponyme,gibberellin
encephalitis arbovirus,hyponyme,encephalitis japanese
epidermolysis bullosa,hyponyme,epidermolysis bullosa simplex
rubivirus,hyponyme,rubella virus
aminobenzoates,hyponyme,ortho - aminobenzoates
strepsirhini,hyponyme,lemuridae
digestive system,hyponyme,liver
oxidoreductase act on sulfur group donor,hyponyme,glutaredoxins
rhizaria,hyponyme,cercozoa
genetic technique,hyponyme,chromosome mapping
oligopeptide,hyponyme,chalone
nerve tissue protein,hyponyme,gap-43 protein
ceramidase,hyponyme,acid ceramidase
genetic disease inborn,hyponyme,frasier syndrome
hydrazine,hyponyme,isoniazid
spider,hyponyme,black widow spider
health,hyponyme,man 's health
17-ketosteroids,hyponyme,dehydroepiandrosterone
ruminant,hyponyme,deer
immune system disease,hyponyme,immunologic deficiency syndrome
aldose - ketose isomerase,hyponyme,glucose-6-phosphate isomerase
occupational disease,hyponyme,bird fancier 's lung
ear disease,hyponyme,otitis
sexual behavior animal,hyponyme,pair bond
brain disease metabolic inborn,hyponyme,homocystinuria
oligopeptide,hyponyme,n - formylmethionine leucyl - phenylalanine
receptor neuropeptide,hyponyme,receptors prolactin
health occupation,hyponyme,hospital administration
biphenyl compound,hyponyme,dianisidine
information science,hyponyme,compute methodology
cardiac imaging technique,hyponyme,echocardiography
vasopressin,hyponyme,ornipressin
perceptual disorder,hyponyme,alice in wonderland syndrome
research,hyponyme,dual use research
decapodiformes,hyponyme,loligo
intravital microscopy,hyponyme,microscopic angioscopy
norgestrel,hyponyme,ethinyl estradiol - norgestrel combination
chromosome painting,hyponyme,spectral karyotyping
pelvic pain,hyponyme,piriformis muscle syndrome
hospital urban,hyponyme,hospital municipal
dehydroepiandrosterone,hyponyme,dehydroepiandrosterone sulfate
intestinal neoplasm,hyponyme,ileal neoplasms
melanoma,hyponyme,melanoma amelanotic
esterase,hyponyme,carboxylic ester hydrolase
cell membrane structure,hyponyme,phycobilisomes
communication,hyponyme,information dissemination
calcium - bind protein,hyponyme,serrate - jagged protein
secologanin tryptamine alkaloid,hyponyme,yohimbine
taxi response,hyponyme,escape reaction
monomeric gtp - bind protein,hyponyme,ral gtp - bind protein
sleep wake disorder,hyponyme,dyssomnias
oxyquinoline,hyponyme,iodoquinol
rna ribosomal,hyponyme,rna ribosomal 5.8s
metabolism,hyponyme,metabolome
membrane glycoprotein,hyponyme,sarcoglycans
neoplasm by site,hyponyme,pelvic neoplasm
y chromosome,hyponyme,chromosomes human y
contraceptive agent female,hyponyme,luteolytic agent
nutritional physiological phenomenon,hyponyme,appetite regulation
culture technique,hyponyme,cell culture technique
receptor fibronectin,hyponyme,integrin alpha2beta1
plant oil,hyponyme,palm oil
psychotherapy,hyponyme,bibliotherapy
otologic surgical procedure,hyponyme,myringoplasty
ether cyclic,hyponyme,oxocin
coumarins,hyponyme,pyranocoumarin
humanity,hyponyme,secularism
phospholipid,hyponyme,sphingomyelin
bunyaviridae infection,hyponyme,encephalitis california
licensure,hyponyme,licensure dental
physiological effect of drug,hyponyme,hallucinogens
serine endopeptidase,hyponyme,chymase
genome components,hyponyme,genetic loci
matrix metalloproteinase secrete,hyponyme,matrix metalloproteinase 8
protein modification translational,hyponyme,protein processing post - translational
lipidose,hyponyme,neuronal ceroid - lipofuscinose
connective tissue cell,hyponyme,mast cell
ubiquitination,hyponyme,sumoylation
autonomic pathways,hyponyme,celiac plexus
hydroxyapatite,hyponyme,durapatite
lysosomal storage disease,hyponyme,lysosomal storage disease nervous system
molecular mechanism of pharmacological action,hyponyme,mitosis modulator
vaginal fistula,hyponyme,rectovaginal fistula
neoplasms complex and mixed,hyponyme,adenoma pleomorphic
solute carrier protein,hyponyme,peptide transporter 1
fluorometry,hyponyme,cytophotometry
back,hyponyme,sacrococcygeal region
vital statistic,hyponyme,mortality
ablation technique,hyponyme,cryosurgery
skin abnormality,hyponyme,carney complex
asymptomatic disease,hyponyme,asymptomatic infection
femur,hyponyme,femur neck
dna repeat expansion,hyponyme,trinucleotide repeat expansion
metabolism inborn error,hyponyme,amyloidosis familial
actinomycetale infection,hyponyme,nocardia infection
oxidoreductase,hyponyme,nitrogenase
hear test,hyponyme,acoustic impedance test
solanaceous alkaloid,hyponyme,solanine
cell engineering,hyponyme,metabolic engineering
dentistry,hyponyme,oral medicine
hypersensitivity,hyponyme,environmental illness
ovum,hyponyme,oogonia
virus,hyponyme,insect virus
toxicological phenomenon,hyponyme,maximum tolerate dose
hydrogen,hyponyme,deuterium
blood coagulation factor,hyponyme,factor x
solanaceae,hyponyme,tobacco
methanobacteriaceae,hyponyme,methanobrevibacter
norpregnatriene,hyponyme,norgestrienone
copy process,hyponyme,microfilm
periodontal disease,hyponyme,tooth mobility
pentose,hyponyme,arabinose
serpin,hyponyme,ovalbumin
gammaproteobacteria,hyponyme,ectothiorhodospiraceae
skin disease,hyponyme,photosensitivity disorder
endocrine gland neoplasm,hyponyme,ovarian neoplasm
skin manifestation,hyponyme,cafe - au - lait spot
luciferase,hyponyme,luciferase bacterial
amino acid basic,hyponyme,asparagine
pre - b cell receptor,hyponyme,immunoglobulin light chain surrogate
dentin - bond agent,hyponyme,silorane resins
refractive error,hyponyme,hyperopia
ion,hyponyme,cation
reproduction,hyponyme,orgasm
radiofrequency therapy,hyponyme,short - wave therapy
skin disease,hyponyme,hair disease
combine modality therapy,hyponyme,radiotherapy adjuvant
phagocyte,hyponyme,neutrophils
glycoside hydrolase,hyponyme,xylosidases
hormone antagonist,hyponyme,estrogen antagonist
3-oxoacyl-(acyl - carrier - protein ) reductase,hyponyme,fatty acid synthase
arteries,hyponyme,ciliary arteries
arteries,hyponyme,meningeal artery
organic chemical,hyponyme,organophosphorus compounds
trichomonas infection,hyponyme,trichomonas vaginitis
type c phospholipase,hyponyme,phosphatidylinositol diacylglycerol - lyase
knee joint,hyponyme,menisci tibial
nitrogen - fix bacteria,hyponyme,anabaena
heterocyclic compound 3-ring,hyponyme,dibenzoxazepine
wound healing,hyponyme,cicatrix
dentistry,hyponyme,dental equipment
nadh nadph oxidoreductase,hyponyme,nadph dehydrogenase
saccharomycetales,hyponyme,candida
thiophene,hyponyme,thioctic acid
organic anion transporter,hyponyme,dicarboxylic acid transporter
benzodiazepine,hyponyme,clobazam
glaucoma,hyponyme,glaucoma open - angle
tooth permeability,hyponyme,dental enamel permeability
health,hyponyme,minority health
delay rectifier potassium channel,hyponyme,kv1.6 potassium channel
adenosine,hyponyme,phenylisopropyladenosine
protein - serine - threonine kinase,hyponyme,leucine - rich repeat serine - threonine protein kinase-2
lip disease,hyponyme,lip neoplasm
biomarker,hyponyme,environmental biomarkers
regional health planning,hyponyme,health facility planning
specialty use of chemical,hyponyme,food ingredient
tomography,hyponyme,magnetic resonance imaging
receptor cell surface,hyponyme,methyl - accept chemotaxis protein
gene expression regulation,hyponyme,catabolite repression
health resource,hyponyme,strategic stockpile
helminthiasis animal,hyponyme,monieziasis
lipid metabolism inborn error,hyponyme,xanthomatosis cerebrotendinous
enzyme activator,hyponyme,carbamoyl phosphate synthetase i activator
phenylenediamine,hyponyme,tetramethylphenylenediamine
azepine,hyponyme,pentylenetetrazole
sebaceous gland,hyponyme,meibomian glands
xanthomonadaceae,hyponyme,lysobacter
cyclohexane,hyponyme,cyclohexene
thermoproteale,hyponyme,thermofilaceae
microbiological technique,hyponyme,axenic culture
cyclohexane,hyponyme,cuprizone
streptococcus milleri group,hyponyme,streptococcus intermedius
chromadorea,hyponyme,strongylida
spasm,hyponyme,trismus
blood cell,hyponyme,erythrocyte
adam protein,hyponyme,adam17 protein
genetic disease inborn,hyponyme,kallmann syndrome
air,hyponyme,air ionization
autoantibody,hyponyme,complement c3 nephritic factor
cell physiological phenomenon,hyponyme,cell polarity
forest,hyponyme,rainforest
exopeptidase,hyponyme,dipeptidases
spinocerebellar degeneration,hyponyme,spinocerebellar ataxias
phenethylamine,hyponyme,suloctidil
chromosomes human 6 - 12 and x,hyponyme,chromosomes human x
sexually transmit disease viral,hyponyme,condylomata acuminata
wound nonpenetrate,hyponyme,contusion
behavioral sciences,hyponyme,behavioral research
ericaceae,hyponyme,pyrola
spinal cord disease,hyponyme,subacute combine degeneration
hemeprotein,hyponyme,methemalbumin
psychophysiology,hyponyme,habituation psychophysiologic
encephalitis arbovirus,hyponyme,encephalitis st . louis
endodontics,hyponyme,dental pulp cap
skin disease,hyponyme,xanthogranuloma juvenile
blood coagulation factor,hyponyme,beta - thromboglobulin
biological factor,hyponyme,pigment biological
bone disease endocrine,hyponyme,congenital hypothyroidism
hydrogen - ion concentration,hyponyme,isoelectric point
factor viii,hyponyme,factor viiia
brain injury traumatic,hyponyme,chronic traumatic encephalopathy
immunoglobulin e,hyponyme,immunoglobulin epsilon - chain
metabolic disease,hyponyme,skin disease metabolic
complex regional pain syndrome,hyponyme,reflex sympathetic dystrophy
foodborne disease,hyponyme,ciguatera poisoning
mononeuropathy,hyponyme,radial neuropathy
publication format,hyponyme,classical article
environmental restoration and remediation,hyponyme,biodegradation environmental
embryonic and fetal development,hyponyme,embryonic development
decompression,hyponyme,low body negative pressure
cloxacillin,hyponyme,dicloxacillin
vitamin k,hyponyme,vitamin k 2
genetic structure,hyponyme,plasmid
endopeptidase,hyponyme,metalloendopeptidase
autoimmune disease,hyponyme,dermatitis herpetiformis
cell line,hyponyme,cell line transform
skin manifestation,hyponyme,necrolytic migratory erythema
estrene,hyponyme,mifepristone
sweat gland disease,hyponyme,hyperhidrosis
metal heavy,hyponyme,rhodium
biphenyl compound,hyponyme,flurbiprofen
lymph,hyponyme,chyle
mental process,hyponyme,mind - body relation metaphysical
investigative technique,hyponyme,cementation
adipose tissue white,hyponyme,subcutaneous fat
government,hyponyme,federal government
rosanae,hyponyme,clusiaceae
lipodystrophy,hyponyme,lipodystrophy familial partial
inflammation,hyponyme,serositis
nigella,hyponyme,nigella damascena
decision support technique,hyponyme,datum interpretation statistical
legionella,hyponyme,legionella longbeachae
bunyaviridae,hyponyme,nairovirus
metalloendopeptidase,hyponyme,phex phosphate regulate neutral endopeptidase
paraganglioma extra - adrenal,hyponyme,glomus tympanicum tumor
pyrimidine,hyponyme,dipyridamole
regulatory sequence ribonucleic acid,hyponyme,rna 3 ' polyadenylation signal
eye,hyponyme,tenon capsule
animal disease,hyponyme,keratoconjunctivitis infectious
drug resistance bacterial,hyponyme,trimethoprim resistance
dna intergenic,hyponyme,5 ' flank region
spectrum analysis,hyponyme,spectrophotometry
ion channel,hyponyme,calcium channel
isotopes,hyponyme,oxygen isotope
propanolamine,hyponyme,carvedilol
headache disorder secondary,hyponyme,post - traumatic headache
rickettsiaceae,hyponyme,rickettsieae
foot disease,hyponyme,posterior tibial tendon dysfunction
enterobacteriaceae,hyponyme,proteus
retroviridae protein,hyponyme,gene products gag
paint,hyponyme,lacquer
lentivirus,hyponyme,lentiviruse primate
nitrile,hyponyme,acrylonitrile
respiratory system abnormality,hyponyme,choanal atresia
metal heavy,hyponyme,californium
allium,hyponyme,onion
electrophoresis,hyponyme,electrophoresis cellulose acetate
swine disease,hyponyme,swine erysipelas
reflex,hyponyme,reflex abdominal
amide,hyponyme,dibucaine
medical informatics application,hyponyme,information storage and retrieval
spatial behavior,hyponyme,spatial processing
heart defect congenital,hyponyme,ductus arteriosus patent
onagraceae,hyponyme,epilobium
cynara,hyponyme,cynara scolymus
mechanical phenomena,hyponyme,torsion mechanical
genetic disease inborn,hyponyme,chromosome disorder
transaminase,hyponyme,glycine transaminase
imidazoles,hyponyme,ondansetron
astronomical phenomena,hyponyme,gravitation
annelida,hyponyme,oligochaeta
inorganic chemical,hyponyme,technetium compound
beta - globin,hyponyme,epsilon - globin
equipment and supply,hyponyme,incubator
osteoblast,hyponyme,osteocytes
chromosomes human pair 9,hyponyme,philadelphia chromosome
drug therapy,hyponyme,orthomolecular therapy
araceae,hyponyme,arum
postoperative complication,hyponyme,delay emergence from anesthesia
lentivirus,hyponyme,lentiviruse feline
phaeophyta,hyponyme,sargassum
poultry,hyponyme,poultry protein
dna virus,hyponyme,fuselloviridae
araliaceae,hyponyme,eleutherococcus
cholestane,hyponyme,spirostans
humanity,hyponyme,religion
musculoskeletal abnormality,hyponyme,tracheobronchomalacia
patient acceptance of health care,hyponyme,patient dropout
quinone,hyponyme,indolequinone
nutritional requirement,hyponyme,recommend dietary allowance
dna - bind protein,hyponyme,rad52 dna repair and recombination protein
17-hydroxysteroid dehydrogenase,hyponyme,estradiol dehydrogenases
small leucine - rich proteoglycan,hyponyme,decorin
pseudomonas,hyponyme,pseudomonas fluorescens
heart valve disease,hyponyme,pulmonary atresia
tissue transplantation,hyponyme,bone - patellar tendon - bone grafting
growth inhibitor,hyponyme,angiogenesis inhibitor
mining,hyponyme,coal mining
nuclear protein,hyponyme,fanconi anemia complementation group n protein
genetic,hyponyme,pharmacogenetic
epithelial cell,hyponyme,merkel cell
paleontology,hyponyme,mummy
yohimbine,hyponyme,reserpine
food industry,hyponyme,food technology
molecular structure,hyponyme,molecular dynamics simulation
genotype,hyponyme,haplotypes
guideline as topic,hyponyme,practice guideline as topic
meter dose inhaler,hyponyme,inhalation spacer
vibrio infection,hyponyme,cholera
amino acyl - trna synthetase,hyponyme,tyrosine - trna ligase
motion,hyponyme,coriolis force
milk,hyponyme,koumiss
naphthalenes,hyponyme,naphthalimides
continuity of patient care,hyponyme,retention in care
oxide,hyponyme,magnesium oxide
sphingosine,hyponyme,fingolimod hydrochloride
prosthesis and implant,hyponyme,urinary sphincter artificial
transaminase,hyponyme,2-aminoadipate transaminase
embryo nonmammalian,hyponyme,chick embryo
epidemiologic studies,hyponyme,cross - sectional study
coniferophyta,hyponyme,taxodiaceae
talipe,hyponyme,equinus deformity
chemical phenomena,hyponyme,desiccation
b7 antigen,hyponyme,program cell death 1 ligand 2 protein
receptor immunologic,hyponyme,receptors mitogen
epithelial cell,hyponyme,melanocyte
virus physiological phenomenon,hyponyme,virus latency
sapindaceae,hyponyme,acer
basic helix - loop - helix transcription factor,hyponyme,t - cell acute lymphocytic leukemia protein 1
acids noncarboxylic,hyponyme,hydrofluoric acid
lymphangiectasis,hyponyme,lymphangiectasis intestinal
ethic,hyponyme,double effect principle
extraction and processing industry,hyponyme,metallurgy
genetic technique,hyponyme,genetic testing
protein engineering,hyponyme,mutagenesis insertional
canidae,hyponyme,jackal
health personnel,hyponyme,faculty nursing
surgical procedure operative,hyponyme,pneumonectomy
trichomonadida,hyponyme,trichomonas
atropine,hyponyme,hyoscyamine
analgesia,hyponyme,analgesia obstetrical
infant equipment,hyponyme,pacifier
vitamin b 6,hyponyme,pyridoxamine
bacteria,hyponyme,spirochaetale
hydrochloric acid,hyponyme,chloride
rem sleep parasomnia,hyponyme,sleep paralysis
xanthophylls,hyponyme,lutein
phosphotransferases ( alcohol group acceptor ),hyponyme,diacylglycerol kinase
vein,hyponyme,azygos vein
benzocycloheptenes,hyponyme,dibenzocycloheptene
aspergillosis,hyponyme,neuroaspergillosis
receptor immunologic,hyponyme,immunophilins
uterine hemorrhage,hyponyme,metrorrhagia
stomach disease,hyponyme,stomach rupture
motor neuron disease,hyponyme,bulbar palsy progressive
stress disorder traumatic,hyponyme,psychological trauma
coup transcription factor,hyponyme,coup transcription factor ii
chordopoxvirinae,hyponyme,orthopoxvirus
publication format,hyponyme,union list
social control formal,hyponyme,capital punishment
mass media,hyponyme,television
coronary artery bypass,hyponyme,internal mammary - coronary artery anastomosis
death domain superfamily,hyponyme,death domain
esophageal disease,hyponyme,diverticulosis esophageal
brain disease,hyponyme,brain death
genitalia male,hyponyme,seminal vesicle
adaptor protein signal transducing,hyponyme,caveolin 1
earth sciences,hyponyme,paleontology
electronics,hyponyme,electronics medical
histocompatibility antigen class i,hyponyme,hla - a antigen
glutarate,hyponyme,formiminoglutamic acid
nystagmus physiologic,hyponyme,nystagmus optokinetic
polymyxin,hyponyme,colistin
growth hormone,hyponyme,human growth hormone
influenza a virus,hyponyme,influenza a virus h10n7 subtype
environmental exposure,hyponyme,paternal exposure
immediate - early protein,hyponyme,early growth response transcription factor
streptogramin,hyponyme,streptogramin group b
mechanistic target of rapamycin complex 1,hyponyme,mtor associated protein lst8 homolog
amino acid essential,hyponyme,histidine
comprehensive health care,hyponyme,comprehensive dental care
chlorobenzoate,hyponyme,metoclopramide
housekeeping,hyponyme,housekeeping hospital
rosaceae,hyponyme,pyracantha
psychiatry,hyponyme,neuropsychiatry
weather,hyponyme,hot temperature
siloxane,hyponyme,silicone
brain injury traumatic,hyponyme,brain concussion
psychoanalytic theory,hyponyme,introversion ( psychology )
receptor g - protein - couple,hyponyme,receptor tachykinin
dna,hyponyme,dna a - form
platelet membrane glycoprotein,hyponyme,integrin alpha6beta1
gene microbial,hyponyme,gene bacterial
economics,hyponyme,investment
force expiratory flow rate,hyponyme,maximal expiratory flow rate
disease,hyponyme,syndrome
fungi,hyponyme,ascomycota
waxes,hyponyme,lanolin
aminoacridine,hyponyme,amsacrine
eczema,hyponyme,eczema dyshidrotic
restriction mapping,hyponyme,optical restriction mapping
receptor death domain,hyponyme,receptor tumor necrosis factor type i
clostridium,hyponyme,clostridium botulinum
nervous system physiological phenomenon,hyponyme,psychomotor performance
nerve tissue protein,hyponyme,sap90-psd95 associate protein
glycolates,hyponyme,halofenate
card signaling adaptor protein,hyponyme,cradd signal adaptor protein
radiologic health,hyponyme,radioactive fallout
dna,hyponyme,dna archaeal
ethylenediamines,hyponyme,edetic acid
multiprotein complex,hyponyme,amyloid
solute carrier protein,hyponyme,liver - specific organic anion transporter 1
accident,hyponyme,accident prevention
interpersonal relation,hyponyme,forgiveness
wound and injury,hyponyme,heat stress disorder
ethylmercury compound,hyponyme,thimerosal
glycosaminoglycans,hyponyme,heparitin sulfate
digestive system physiological phenomenon,hyponyme,eat
spectrum analysis,hyponyme,spectrometry x - ray emission
bacterial vaccine,hyponyme,pseudomonas vaccines
diagnostic technique urological,hyponyme,kidney function test
metal heavy,hyponyme,protactinium
acoustic maculae,hyponyme,otolithic membrane
dentistry operative,hyponyme,dental restoration permanent
acanthaceae,hyponyme,justicia
biopolymer,hyponyme,collagen
person,hyponyme,consultant
myrtaceae,hyponyme,eucalyptus
nutritional sciences,hyponyme,animal nutrition science
self concept,hyponyme,body image
group i chaperonin,hyponyme,chaperonin 10
inorganic chemical,hyponyme,zinc compound
dentistry,hyponyme,air abrasion dental
animal disease,hyponyme,digital dermatitis
steroid fluorinate,hyponyme,fluocortolone
disorder of sex development,hyponyme,sex chromosome disorder of sex development
sugar phosphate,hyponyme,polyisoprenyl phosphate sugars
biogenic monoamine,hyponyme,histamine
gram - negative aerobic rod and cocci,hyponyme,cytophagaceae
fetal therapy,hyponyme,blood transfusion intrauterine
minichromosome maintenance protein,hyponyme,minichromosome maintenance complex component 6
growth and development,hyponyme,human development
eutheria,hyponyme,carnivora
receptors interleukin,hyponyme,receptor interleukin-3
blood vessel,hyponyme,vasa vasorum
heterocyclic compound 1-ring,hyponyme,pyridines
sesquiterpenes guaiane,hyponyme,thapsigargin
euryarchaeota,hyponyme,methanococcales
mycobacterium,hyponyme,mycobacterium avium
suppuration,hyponyme,hidradenitis suppurativa
cardiovascular physiological phenomenon,hyponyme,capillary fragility
clinical laboratory technique,hyponyme,metabolic clearance rate
hyalohyphomycosis,hyponyme,alternariosis
australia,hyponyme,new south wales
methylcellulose,hyponyme,carboxymethylcellulose sodium
allied health personnel,hyponyme,animal technician
protein tyrosine phosphatase,hyponyme,receptor - like protein tyrosine phosphatase
morpholine,hyponyme,xamoterol
viral vaccine,hyponyme,rotavirus vaccines
ectodermal dysplasia,hyponyme,ellis - van creveld syndrome
root canal therapy,hyponyme,apexification
magnoliopsida,hyponyme,moringa
africa northern,hyponyme,tunisia
cercopithecinae,hyponyme,theropithecus
psychotherapy,hyponyme,psychoanalytic therapy
pharmacokinetic,hyponyme,intestinal elimination
endoscopy,hyponyme,natural orifice endoscopic surgery
arylsulfatase,hyponyme,cerebroside - sulfatase
stain and labeling,hyponyme,prussian blue reaction
muscular dystrophy,hyponyme,muscular dystrophy oculopharyngeal
acids acyclic,hyponyme,carbamate
integrin alphaxbeta2,hyponyme,cd18 antigen
gene transfer technique,hyponyme,transfection
dietary fat unsaturate,hyponyme,soybean oil
spot fever group rickettsiosis,hyponyme,rocky mountain spot fever
cerebral cortex,hyponyme,occipital lobe
immunoglobulin,hyponyme,antibody
transcription factor tfii,hyponyme,transcription factor tfiih
chlorobenzene,hyponyme,dinitrochlorobenzene
quality of health care,hyponyme,advance directive adherence
cell physiological phenomenon,hyponyme,cell movement
communicable disease control,hyponyme,mandatory testing
amiodarone,hyponyme,dronedarone
ranunculales,hyponyme,papaveraceae
araceae,hyponyme,arisaema
piperidine,hyponyme,pempidine
retinal pigment,hyponyme,opsin
biological science discipline,hyponyme,biochemistry
nervous system disease,hyponyme,autonomic nervous system disease
sapindaceae,hyponyme,blighia
lymphocyte count,hyponyme,cd4 lymphocyte count
bufonidae,hyponyme,bufo arenarum
gonadal dysgenesis,hyponyme,gonadal dysgenesis mix
nerve tissue protein,hyponyme,neuronal apoptosis - inhibitory protein
acute lung injury,hyponyme,transfusion - relate acute lung injury
stilbene,hyponyme,resveratrol
helicobacter,hyponyme,helicobacter mustelae
anatomy,hyponyme,osteology
streptomyce,hyponyme,streptomyces aureofaciens
empyema,hyponyme,empyema pleural
miosis,hyponyme,horner syndrome
thiophene,hyponyme,duloxetine hydrochloride
orthodontics corrective,hyponyme,occlusal adjustment
heart function test,hyponyme,exercise test
central nervous system agent,hyponyme,muscle relaxant central
hydrocarbon fluorinate,hyponyme,desflurane
lanthanoid series element,hyponyme,thulium
triterpenes,hyponyme,pentacyclic triterpenes
catheterization,hyponyme,catheterization peripheral
metalloproteins,hyponyme,metallothionein
piperidine,hyponyme,ketotifen
anaplasma,hyponyme,anaplasma ovis
financial support,hyponyme,foundation
paraproteinemias,hyponyme,smolder multiple myeloma
chlorophenol,hyponyme,pentachlorophenol
dietary sugars,hyponyme,dietary sucrose
gram - negative anaerobic straight curved and helical rod,hyponyme,oxalobacter formigene
ascaridoidea,hyponyme,toxocara
plant oil,hyponyme,clove oil
gene products vif,hyponyme,vif gene product human immunodeficiency virus
water pollution,hyponyme,non - point source pollution
smn complex protein,hyponyme,survival of motor neuron 1 protein
nucleic acid nucleotide and nucleoside,hyponyme,antisense elements ( genetic )
anilide,hyponyme,encainide
lypressin,hyponyme,felypressin
glycocholic acid,hyponyme,glycodeoxycholic acid
terminal care,hyponyme,resuscitation order
sulfolobale,hyponyme,sulfolobaceae
skin disease genetic,hyponyme,ichthyosis vulgaris
biguanide,hyponyme,chlorhexidine
nitrile,hyponyme,carbonyl cyanide m - chlorophenyl hydrazone
mononeuropathy,hyponyme,ulnar neuropathies
basic - leucine zipper transcription factor,hyponyme,maf transcription factor
patient care,hyponyme,palliative care
diabetic angiopathy,hyponyme,diabetic foot
gene rearrangement t - lymphocyte,hyponyme,gene rearrangement beta - chain t - cell antigen receptor
protein,hyponyme,phosphoprotein
brain disease metabolic inborn,hyponyme,oculocerebrorenal syndrome
dopamine agent,hyponyme,dopamine agonist
podophyllum,hyponyme,podophyllum peltatum
europe eastern,hyponyme,poland
mi-2 nucleosome remodel and deacetylase complex,hyponyme,histone deacetylase 1
intracellular signaling peptide and protein,hyponyme,g - protein - couple receptor kinase
neurobehavioral manifestation,hyponyme,polydipsia psychogenic
hemic and lymphatic disease,hyponyme,hematologic disease
nursing service,hyponyme,home care service
bacterial protein,hyponyme,nadp transhydrogenase b - specific
vestibular disease,hyponyme,vertigo
eye disease,hyponyme,scleral disease
polyglycolic acid,hyponyme,polylactic acid - polyglycolic acid copolymer
protein - tyrosine kinase,hyponyme,mitogen - activate protein kinase kinase
basal ganglia,hyponyme,amygdala
epsilonproteobacteria,hyponyme,arcobacter
astronomical phenomena,hyponyme,astronomical object
lipopeptides,hyponyme,micafungin
proto - oncogene protein,hyponyme,proto - oncogene protein c - maf
chenopodium,hyponyme,chenopodium quinoa
autism spectrum disorder,hyponyme,autistic disorder
biopsy,hyponyme,biopsy needle
glycoside,hyponyme,novobiocin
spore protozoan,hyponyme,oocyst
tooth abnormality,hyponyme,anodontia
nerve growth factor,hyponyme,brain - derive neurotrophic factor
metabolism,hyponyme,cyclization
tundra,hyponyme,permafrost
steroid hydroxylase,hyponyme,steroid 11-beta - hydroxylase
immune tolerance,hyponyme,clonal deletion
chloral hydrate,hyponyme,chloralose
cytochrome p450 family 21,hyponyme,steroid 21-hydroxylase
publication format,hyponyme,patent
dihydroxytryptamine,hyponyme,57-dihydroxytryptamine
apansporoblastina,hyponyme,enterocytozoon
neuromuscular junction,hyponyme,motor endplate
dna,hyponyme,dna antisense
ribosome subunit,hyponyme,ribosome subunit small
lactone,hyponyme,orlistat
education,hyponyme,interdisciplinary placement
ozone,hyponyme,stratospheric ozone
cathepsin,hyponyme,cathepsin f
sequence analysis dna,hyponyme,dna mutational analysis
rna nuclear,hyponyme,rna heterogeneous nuclear
diagnostic technique respiratory system,hyponyme,respiratory - gate imaging technique
tumor necrosis factor,hyponyme,tumor necrosis factor ligand superfamily member 13
catalog,hyponyme,catalog publisher
multienzyme complex,hyponyme,pyruvate dehydrogenase complex
coliphage,hyponyme,bacteriophage n4
compute methodology,hyponyme,computer security
fracture fixation,hyponyme,ilizarov technique
gas,hyponyme,noble gas
tcf transcription factor,hyponyme,transcription factor 7-like 1 protein
astronomical object,hyponyme,extraterrestrial environment
cell cycle protein,hyponyme,tumor suppressor protein p14arf
embryo mammalian,hyponyme,blastocyst
biological phenomenon,hyponyme,biological variation population
sign and symptom,hyponyme,failure to thrive
social sciences,hyponyme,politic
asteraceae,hyponyme,scolymus
genetic disease inborn,hyponyme,marfan syndrome
saccharomyce cerevisiae protein,hyponyme,cdc28 protein kinase s cerevisiae
island,hyponyme,iceland
biochemical phenomena,hyponyme,molecular structure
respiratory system abnormality,hyponyme,tracheobronchomegaly
physical phenomenon,hyponyme,time
methyltransferase,hyponyme,betaine - homocysteine s - methyltransferase
receptor tumor necrosis factor,hyponyme,receptor ectodysplasin
weather,hyponyme,temperature
isomerase,hyponyme,dna helicase
vitamin b 6,hyponyme,pyridoxal
co - repressor protein,hyponyme,nuclear receptor co - repressor 1
violence,hyponyme,exposure to violence
taurocholic acid,hyponyme,taurodeoxycholic acid
social behavior disorder,hyponyme,general adaptation syndrome
united states public health service,hyponyme,national center for health care technology ( u.s . )
gonadotropin - release hormone,hyponyme,triptorelin pamoate
arteriosclerosis,hyponyme,arteriolosclerosis
economics,hyponyme,health care sector
biography,hyponyme,blog
encephalitis viral,hyponyme,encephalomyelitis equine
orthognathic surgical procedure,hyponyme,mandibular reconstruction
morphine derivative,hyponyme,hydromorphone
hydantoins,hyponyme,thiohydantoin
fibroblast growth factor,hyponyme,fibroblast growth factor 2
cation transport protein,hyponyme,arsenite transporting atpase
govern board,hyponyme,trustee
gram - positive asporogenous rod regular,hyponyme,erysipelothrix
sulfite,hyponyme,dithionite
chemistry technique analytical,hyponyme,electroosmosis
heat - shock protein,hyponyme,chaperonin
biomedical and dental material,hyponyme,root canal irrigant
specialty nursing,hyponyme,cardiovascular nursing
diagnostic technique cardiovascular,hyponyme,blood volume determination
tuberculosis osteoarticular,hyponyme,tuberculosis spinal
antigen viral tumor,hyponyme,adenovirus e1a protein
coccidiosis,hyponyme,isosporiasis
vulvar disease,hyponyme,pruritus vulvae
molecular mechanism of pharmacological action,hyponyme,antifoame agent
triiodobenzoic acid,hyponyme,diatrizoate
europe,hyponyme,france
secretoglobin,hyponyme,prostatein
